物品,成交量,最低價,中位價,最高價,價格變化,日期
矛攻擊卷軸60%卷軸,126,14000,25000,35000,-3.00%,2025-06-02
金飛鏢裝備,125,650000,1000000,1550000,-19.87%,2025-06-02
槍命中卷軸10%卷軸,123,7000,10000,17000,+1.37%,2025-06-02
矛命中卷軸60%卷軸,123,40000,80000,125000,-25.61%,2025-06-02
鞋子敏捷性卷軸10%卷軸,116,34999,50000,55000,-3.77%,2025-06-02
套服幸運卷軸100%卷軸,112,1200000,1400000,1600000,-1.11%,2025-06-02
單手棍命中卷軸60%卷軸,111,20000,30000,49000,-15.32%,2025-06-02
盾牌幸運卷軸10%卷軸,111,420000,500000,530000,-0.69%,2025-06-02
酋長的地契其他,110,220000,280000,333333,-2.40%,2025-06-02
披風力量卷軸100%卷軸,107,120000,160000,230000,-7.47%,2025-06-02
披風幸運卷軸100%卷軸,101,250000,350000,400000,-0.06%,2025-06-02
高級瞬移之石商城道具,101,105000,120000,125000,+2.77%,2025-06-02
上衣體力卷軸60%卷軸,99,250000,300000,390000,-11.09%,2025-06-02
長杖魔力卷軸10%卷軸,94,215000,300000,330000,+5.22%,2025-06-02
盾牌生命卷軸60%卷軸,93,749999,800000,955555,-7.17%,2025-06-02
詛咒娃娃其他,93,80,100,150,-9.64%,2025-06-02
耳飾體力卷軸10%卷軸,84,90000,120000,180000,+4.48%,2025-06-02
手槍攻擊力卷軸10%卷軸,83,100000,200000,270000,+24.82%,2025-06-02
披風智力卷軸100%卷軸,83,85000,100000,100000,-0.53%,2025-06-02
盾牌生命卷軸10%卷軸,79,220000,299999,330000,-5.97%,2025-06-02
土飛鏢裝備,76,7000000,8000000,9000000,-7.04%,2025-06-02
套服智力卷軸100%卷軸,76,1700000,2000000,2100000,+1.28%,2025-06-02
肥肥頭其他,74,25000,30000,32000,+0.25%,2025-06-02
黑暗水晶其他,70,350000,500000,700000,-7.22%,2025-06-02
單手棍命中卷軸10%卷軸,67,3500,10000,13000,-3.93%,2025-06-02
馬堤安的觸角其他,66,200,400,600,+13.98%,2025-06-02
下衣體力卷軸60%卷軸,65,390000,430000,480000,-10.54%,2025-06-02
耳環生命卷軸60%卷軸,64,150000,250000,300000,-2.68%,2025-06-02
鞋子移動速度卷軸60%卷軸,62,25000,30000,45000,+1.34%,2025-06-02
上衣力量卷軸60%卷軸,61,1300000,1699999,2000000,+4.87%,2025-06-02
耳飾敏捷卷軸100%卷軸,60,3000000,3999999,4500000,-8.59%,2025-06-02
雙手斧攻擊卷軸60%卷軸,57,4000,15000,40000,+30.35%,2025-06-02
指虎攻擊卷軸10%卷軸,56,7000,10000,10000,+1.09%,2025-06-02
黑暗母礦其他,55,27000,30000,47000,-17.58%,2025-06-02
指虎命中卷軸60%卷軸,54,15000,25000,35000,-7.27%,2025-06-02
頭盔防禦卷軸60%卷軸,54,1000,5000,10000,+15.52%,2025-06-02
套服力量卷軸100%卷軸,52,45000,70000,100000,+10.50%,2025-06-02
盾牌防禦卷軸60%卷軸,52,4000,7000,10000,-10.03%,2025-06-02
SP初始化卷軸商城道具,51,690000,1100000,1500000,+2.24%,2025-06-02
單手劍攻擊卷軸10%卷軸,51,7000,25000,40000,+47.73%,2025-06-02
頭盔智力卷軸60%卷軸,50,2200000,3500000,4500000,-5.85%,2025-06-02
單手棍攻擊卷軸60%卷軸,49,3000,10000,20000,-7.78%,2025-06-02
盾牌生命卷軸100%卷軸,49,135000,170000,200000,+4.45%,2025-06-02
褲裙跳躍卷軸60%卷軸,49,20000,40000,50000,+8.66%,2025-06-02
套服智力卷軸10%卷軸,48,1200000,1450000,1750000,+4.67%,2025-06-02
披風體力卷軸10%卷軸,47,50000,50000,50000,0.00%,2025-06-02
手套攻擊卷軸60%卷軸,742,1450000,1600000,1650000,-0.11%,2025-06-03
拳套攻擊卷軸60%卷軸,678,360000,450000,540000,+0.91%,2025-06-03
盾牌幸運卷軸60%卷軸,668,1250000,1400000,1500000,-2.44%,2025-06-03
短杖魔力卷軸60%卷軸,634,160000,250000,300000,+2.57%,2025-06-03
短劍攻擊卷軸60%卷軸,569,488888,600000,660000,+4.46%,2025-06-03
手槍攻擊力卷軸60%卷軸,533,175000,230000,275000,+5.24%,2025-06-03
披風敏捷性卷軸60%卷軸,521,1400000,1600000,1800000,+2.23%,2025-06-03
頭盔敏捷性卷軸100%卷軸,506,380000,400000,456000,+0.93%,2025-06-03
耳飾幸運卷軸10%卷軸,499,175000,230000,270000,-1.35%,2025-06-03
長杖魔力卷軸60%卷軸,478,210000,300000,380000,-1.03%,2025-06-03
耳環智力卷軸60%卷軸,469,740000,900000,1000000,-0.71%,2025-06-03
槍命中卷軸60%卷軸,466,80000,120000,170000,+1.86%,2025-06-03
披風智力卷軸60%卷軸,459,450000,550000,650000,-2.87%,2025-06-03
披風幸運卷軸60%卷軸,457,1050000,1200000,1320000,+0.65%,2025-06-03
雙手劍命中卷軸60%卷軸,417,30000,70000,110000,+9.61%,2025-06-03
鞋子跳躍卷軸10%卷軸,417,179998,200000,260000,+2.17%,2025-06-03
頭盔智力卷軸100%卷軸,399,210000,270000,330000,-8.93%,2025-06-03
套服敏捷卷軸60%卷軸,382,680000,850000,970000,+4.34%,2025-06-03
披風力量卷軸60%卷軸,351,650000,900000,1000000,+9.18%,2025-06-03
鞋子跳躍卷軸60%卷軸,351,550000,650000,750000,+2.53%,2025-06-03
拳套攻擊卷軸10%卷軸,347,350000,450000,550000,+5.89%,2025-06-03
槍攻擊卷軸60%卷軸,325,75000,100000,135000,+5.58%,2025-06-03
頭盔體力卷軸60%卷軸,320,250000,370000,450000,+3.99%,2025-06-03
弓攻擊卷軸60%卷軸,318,190000,200000,240000,+2.25%,2025-06-03
手套敏捷性卷軸60%卷軸,302,60000,100000,140000,+16.26%,2025-06-03
弩攻擊卷軸60%卷軸,301,34999,45000,55000,-2.23%,2025-06-03
披風體力卷軸60%卷軸,285,100000,200000,300000,+8.79%,2025-06-03
手套攻擊卷軸100%卷軸,266,430000,500000,520000,-1.05%,2025-06-03
套服敏捷卷軸10%卷軸,261,225000,299998,320000,+1.44%,2025-06-03
上衣幸運卷軸100%卷軸,237,360000,400000,480000,-2.98%,2025-06-03
指虎攻擊卷軸60%卷軸,231,10000,30000,50000,+4.38%,2025-06-03
鞋子速度卷軸60%卷軸,227,20000,40000,60000,+11.45%,2025-06-03
短劍攻擊卷軸10%卷軸,217,150000,260000,350000,+15.37%,2025-06-03
耳飾幸運卷軸100%卷軸,217,510000,600000,630000,-3.17%,2025-06-03
上衣力量卷軸100%卷軸,202,175000,220000,270000,-8.04%,2025-06-03
單手劍攻擊卷軸60%卷軸,194,33333,50000,80000,+7.55%,2025-06-03
食人花的花蜜其他,191,650000,830000,1000000,+4.26%,2025-06-03
盾牌幸運卷軸100%卷軸,188,425000,500000,520000,-3.78%,2025-06-03
神秘背包商城道具,185,650000,800000,850000,+4.02%,2025-06-03
手套攻擊卷軸10%卷軸,183,660000,750000,800000,+3.70%,2025-06-03
手套敏捷性卷軸10%卷軸,182,28000,40000,50000,-1.00%,2025-06-03
披風敏捷性卷軸100%卷軸,181,170000,300000,338000,-1.80%,2025-06-03
飄雪結晶商城道具,180,53000,58999,61000,+2.70%,2025-06-03
上衣體力卷軸10%卷軸,174,15000,40000,60000,+12.23%,2025-06-03
枯木樹液消耗品,174,23000,29000,32000,+1.37%,2025-06-03
耳飾體力卷軸60%卷軸,170,125000,180000,220000,-7.42%,2025-06-03
披風幸運卷軸10%卷軸,169,170000,200000,210000,+1.34%,2025-06-03
鞋子敏捷性卷軸60%卷軸,154,45000,50000,65000,+4.68%,2025-06-03
雙手劍攻擊卷軸60%卷軸,153,35000,50000,65000,-6.92%,2025-06-03
弓攻擊卷軸10%卷軸,152,130000,200000,230000,+6.02%,2025-06-03
套服幸運卷軸60%卷軸,151,3200000,3500000,4010000,-4.39%,2025-06-03
頭盔體力卷軸10%卷軸,137,20000,40000,60000,+15.07%,2025-06-03
盾牌力量卷軸60%卷軸,135,70000,130000,180000,+4.76%,2025-06-03
套服智力卷軸60%卷軸,128,4444444,5000000,6000000,+1.23%,2025-06-03
矛攻擊卷軸60%卷軸,126,14000,25000,35000,+1.75%,2025-06-03
金飛鏢裝備,126,650000,1000000,1550000,-15.37%,2025-06-03
槍命中卷軸10%卷軸,123,7000,10000,17000,+3.09%,2025-06-03
矛命中卷軸60%卷軸,123,40000,80000,125000,-26.78%,2025-06-03
鞋子敏捷性卷軸10%卷軸,115,34999,50000,55000,-5.59%,2025-06-03
套服幸運卷軸100%卷軸,112,1200000,1400000,1600000,-1.95%,2025-06-03
單手棍命中卷軸60%卷軸,111,20000,30000,49000,-10.73%,2025-06-03
盾牌幸運卷軸10%卷軸,111,420000,500000,530000,+0.03%,2025-06-03
酋長的地契其他,110,220000,280000,333333,+1.45%,2025-06-03
披風力量卷軸100%卷軸,107,120000,160000,230000,-8.62%,2025-06-03
披風幸運卷軸100%卷軸,101,250000,350000,400000,+0.10%,2025-06-03
高級瞬移之石商城道具,101,105000,120000,125000,+3.64%,2025-06-03
上衣體力卷軸60%卷軸,99,250000,300000,390000,-5.80%,2025-06-03
長杖魔力卷軸10%卷軸,94,215000,300000,330000,+1.29%,2025-06-03
盾牌生命卷軸60%卷軸,93,749999,800000,955555,-2.49%,2025-06-03
詛咒娃娃其他,93,80,100,150,-12.24%,2025-06-03
耳飾體力卷軸10%卷軸,84,90000,120000,180000,+0.04%,2025-06-03
手槍攻擊力卷軸10%卷軸,83,100000,200000,270000,+20.33%,2025-06-03
披風智力卷軸100%卷軸,83,85000,100000,100000,-0.48%,2025-06-03
盾牌生命卷軸10%卷軸,79,220000,299999,330000,-3.54%,2025-06-03
土飛鏢裝備,77,7000000,8000000,9000000,-6.46%,2025-06-03
套服智力卷軸100%卷軸,76,1700000,2000000,2100000,+1.69%,2025-06-03
肥肥頭其他,74,25000,30000,32000,-0.34%,2025-06-03
黑暗水晶其他,70,350000,500000,700000,-5.38%,2025-06-03
單手棍命中卷軸10%卷軸,67,3500,10000,13000,-11.44%,2025-06-03
馬堤安的觸角其他,66,200,400,600,+3.17%,2025-06-03
下衣體力卷軸60%卷軸,65,390000,430000,480000,-1.01%,2025-06-03
耳環生命卷軸60%卷軸,64,150000,250000,300000,+5.41%,2025-06-03
鞋子移動速度卷軸60%卷軸,62,25000,30000,45000,+4.13%,2025-06-03
上衣力量卷軸60%卷軸,60,1300000,1699999,2000000,+1.99%,2025-06-03
耳飾敏捷卷軸100%卷軸,60,3000000,3999999,4500000,-6.18%,2025-06-03
雙手斧攻擊卷軸60%卷軸,57,4000,15000,40000,+36.33%,2025-06-03
指虎攻擊卷軸10%卷軸,56,7000,10000,10000,+2.83%,2025-06-03
黑暗母礦其他,55,27000,30000,47000,-9.28%,2025-06-03
指虎命中卷軸60%卷軸,54,15000,25000,35000,-4.00%,2025-06-03
頭盔防禦卷軸60%卷軸,53,1000,5000,10000,+1.83%,2025-06-03
盾牌防禦卷軸60%卷軸,52,4000,7000,10000,-8.02%,2025-06-03
SP初始化卷軸商城道具,51,690000,1100000,1500000,-2.94%,2025-06-03
單手劍攻擊卷軸10%卷軸,51,7000,25000,40000,+9.28%,2025-06-03
套服力量卷軸100%卷軸,50,45000,70000,100000,+1.27%,2025-06-03
頭盔智力卷軸60%卷軸,50,2200000,3500000,4500000,-6.89%,2025-06-03
單手棍攻擊卷軸60%卷軸,49,3000,10000,20000,+3.64%,2025-06-03
褲裙跳躍卷軸60%卷軸,49,20000,40000,50000,+5.95%,2025-06-03
套服智力卷軸10%卷軸,48,1200000,1450000,1750000,+9.66%,2025-06-03
披風體力卷軸10%卷軸,47,50000,50000,50000,0.00%,2025-06-03
槍攻擊卷軸10%卷軸,47,35000,49999,55000,+1.12%,2025-06-03
手套攻擊卷軸60%卷軸,788,1450000,1600000,1650000,+0.24%,2025-06-04
拳套攻擊卷軸60%卷軸,764,350000,450000,550000,+3.72%,2025-06-04
手槍攻擊力卷軸60%卷軸,687,168000,250000,300000,+9.57%,2025-06-04
短杖魔力卷軸60%卷軸,655,160000,250000,300000,+1.16%,2025-06-04
披風敏捷性卷軸60%卷軸,541,1400000,1600000,1800000,+0.65%,2025-06-04
長杖魔力卷軸60%卷軸,541,200000,300000,400000,+1.61%,2025-06-04
盾牌幸運卷軸60%卷軸,537,1250000,1350000,1490000,+0.49%,2025-06-04
短劍攻擊卷軸60%卷軸,534,510000,600000,688888,+2.05%,2025-06-04
披風幸運卷軸60%卷軸,532,1050000,1200000,1320000,+0.79%,2025-06-04
頭盔敏捷性卷軸100%卷軸,512,380000,400000,456000,+0.47%,2025-06-04
耳飾幸運卷軸10%卷軸,501,175000,230000,270000,+1.25%,2025-06-04
頭盔智力卷軸100%卷軸,487,195000,250000,330000,-4.93%,2025-06-04
槍命中卷軸60%卷軸,473,80000,129999,170000,+3.98%,2025-06-04
披風智力卷軸60%卷軸,465,450000,550000,650000,-2.46%,2025-06-04
耳環智力卷軸60%卷軸,448,787878,900000,1000000,-1.88%,2025-06-04
雙手劍命中卷軸60%卷軸,440,30000,70000,110000,+6.43%,2025-06-04
弓攻擊卷軸60%卷軸,434,190000,200000,250000,+0.30%,2025-06-04
鞋子跳躍卷軸10%卷軸,428,179998,210000,270000,+4.06%,2025-06-04
套服敏捷卷軸60%卷軸,401,680000,850000,970000,+4.99%,2025-06-04
拳套攻擊卷軸10%卷軸,353,350000,450000,550000,+3.07%,2025-06-04
手套敏捷性卷軸60%卷軸,350,55000,100000,150000,+14.77%,2025-06-04
鞋子跳躍卷軸60%卷軸,344,550000,650000,750000,+5.28%,2025-06-04
槍攻擊卷軸60%卷軸,334,75000,100000,135000,+4.26%,2025-06-04
耳飾幸運卷軸100%卷軸,331,450000,550000,650000,-5.63%,2025-06-04
頭盔體力卷軸60%卷軸,328,250000,380000,450000,+0.68%,2025-06-04
披風力量卷軸60%卷軸,314,710000,920000,1000000,+3.03%,2025-06-04
弩攻擊卷軸60%卷軸,307,35000,45000,55000,-2.07%,2025-06-04
上衣幸運卷軸100%卷軸,266,349899,400000,480000,-5.19%,2025-06-04
套服敏捷卷軸10%卷軸,261,230000,300000,320000,+2.15%,2025-06-04
指虎攻擊卷軸60%卷軸,244,10000,30000,50000,+16.20%,2025-06-04
手套攻擊卷軸100%卷軸,234,430000,500000,520000,-2.41%,2025-06-04
短劍攻擊卷軸10%卷軸,226,150000,280000,350000,+14.40%,2025-06-04
披風體力卷軸60%卷軸,217,160000,200000,280000,-3.08%,2025-06-04
手套攻擊卷軸10%卷軸,214,650000,750000,850000,+5.16%,2025-06-04
鞋子速度卷軸60%卷軸,210,20000,40000,60000,+21.72%,2025-06-04
上衣力量卷軸100%卷軸,201,175000,210000,270000,-3.48%,2025-06-04
單手劍攻擊卷軸60%卷軸,192,35000,50000,80000,+13.99%,2025-06-04
盾牌幸運卷軸100%卷軸,190,425000,499999,520000,-5.33%,2025-06-04
耳飾體力卷軸60%卷軸,190,125000,170000,220000,-10.57%,2025-06-04
飄雪結晶商城道具,185,53000,59000,61000,+3.08%,2025-06-04
披風幸運卷軸10%卷軸,178,170000,200000,210000,+1.93%,2025-06-04
食人花的花蜜其他,177,690000,800000,950000,-2.06%,2025-06-04
手套敏捷性卷軸10%卷軸,174,28000,40000,55000,-9.58%,2025-06-04
枯木樹液消耗品,169,23000,30000,32000,+1.01%,2025-06-04
上衣體力卷軸10%卷軸,165,25000,40000,60000,+14.02%,2025-06-04
雙手劍攻擊卷軸60%卷軸,163,29998,50000,65000,-3.08%,2025-06-04
弓攻擊卷軸10%卷軸,159,130000,200000,230000,+2.15%,2025-06-04
鞋子敏捷性卷軸60%卷軸,159,45000,55000,70000,+4.95%,2025-06-04
神秘背包商城道具,147,740000,800000,820000,+1.43%,2025-06-04
套服幸運卷軸60%卷軸,142,3400000,3500000,3850000,-2.31%,2025-06-04
披風敏捷性卷軸100%卷軸,142,220000,300000,320000,+3.71%,2025-06-04
單手棍命中卷軸60%卷軸,141,15000,30000,50000,-16.05%,2025-06-04
套服幸運卷軸100%卷軸,133,1200000,1400000,1600000,+1.16%,2025-06-04
盾牌力量卷軸60%卷軸,133,99000,130000,160000,-1.01%,2025-06-04
槍命中卷軸10%卷軸,131,7500,10000,17000,+0.54%,2025-06-04
套服智力卷軸60%卷軸,126,4500000,5000000,5900000,+0.18%,2025-06-04
矛命中卷軸60%卷軸,126,40000,75000,125000,-19.19%,2025-06-04
頭盔體力卷軸10%卷軸,126,24000,50000,60000,+10.39%,2025-06-04
高級瞬移之石商城道具,124,100000,120000,130000,+4.67%,2025-06-04
酋長的地契其他,121,220000,268000,333333,+0.72%,2025-06-04
盾牌幸運卷軸10%卷軸,117,420000,500000,530000,+2.39%,2025-06-04
金飛鏢裝備,115,650000,1000000,1500000,-11.43%,2025-06-04
矛攻擊卷軸60%卷軸,114,14000,25000,35000,+18.61%,2025-06-04
上衣體力卷軸60%卷軸,108,250000,300000,390000,-6.65%,2025-06-04
披風力量卷軸100%卷軸,108,120000,150000,200000,-7.96%,2025-06-04
披風幸運卷軸100%卷軸,105,250000,350000,400000,+0.02%,2025-06-04
盾牌生命卷軸60%卷軸,104,735000,800000,955555,-2.16%,2025-06-04
詛咒娃娃其他,102,75,100,170,-4.27%,2025-06-04
肥肥頭其他,101,20000,30000,40000,-2.54%,2025-06-04
鞋子敏捷性卷軸10%卷軸,100,34999,49999,55000,-1.84%,2025-06-04
耳飾體力卷軸10%卷軸,93,90000,120000,180000,-5.01%,2025-06-04
披風智力卷軸100%卷軸,88,85000,100000,100000,-1.05%,2025-06-04
盾牌生命卷軸10%卷軸,88,220000,290000,330000,-3.02%,2025-06-04
套服智力卷軸100%卷軸,83,1750000,2000000,2200000,+3.61%,2025-06-04
下衣體力卷軸60%卷軸,77,390000,430000,480000,-1.75%,2025-06-04
長杖魔力卷軸10%卷軸,73,270000,300000,310000,+0.29%,2025-06-04
手槍攻擊力卷軸10%卷軸,71,180000,200000,280000,+17.77%,2025-06-04
鞋子移動速度卷軸60%卷軸,68,25000,30000,45000,-4.68%,2025-06-04
馬堤安的觸角其他,68,250,400,600,+1.47%,2025-06-04
黑暗水晶其他,68,350000,500000,700000,-9.64%,2025-06-04
指虎攻擊卷軸10%卷軸,67,7000,10000,10000,+4.51%,2025-06-04
耳環生命卷軸60%卷軸,66,150000,250000,300000,+6.44%,2025-06-04
上衣力量卷軸60%卷軸,64,1380000,1699999,1900000,+8.17%,2025-06-04
短杖魔力卷軸10%卷軸,64,200000,300000,450000,+20.59%,2025-06-04
土飛鏢裝備,63,7000000,7800001,8500000,-5.25%,2025-06-04
單手劍攻擊卷軸10%卷軸,60,7000,25000,40000,+12.00%,2025-06-04
黑暗母礦其他,57,25000,30000,44000,-7.90%,2025-06-04
雙手斧攻擊卷軸60%卷軸,56,5000,20000,40000,+15.30%,2025-06-04
單手棍命中卷軸10%卷軸,54,6000,10000,11000,+0.81%,2025-06-04
單手棍攻擊卷軸60%卷軸,53,2000,10000,20000,-11.14%,2025-06-04
頭盔防禦卷軸60%卷軸,53,1000,5000,10000,-21.99%,2025-06-04
盾牌防禦卷軸60%卷軸,52,3000,7000,10000,-8.65%,2025-06-04
褲裙跳躍卷軸60%卷軸,52,20000,40000,50000,-3.20%,2025-06-04
耳飾敏捷卷軸100%卷軸,51,3199997,3999997,4200000,+1.27%,2025-06-04
頭盔敏捷性卷軸60%卷軸,51,3500000,6500000,8000000,+14.02%,2025-06-04
指虎命中卷軸60%卷軸,50,15000,25000,35000,+12.28%,2025-06-04
鋼鐵母礦其他,50,3000,4500,7000,+6.83%,2025-06-04
套服智力卷軸10%卷軸,49,1100000,1500000,2000000,+18.35%,2025-06-04
槍攻擊卷軸10%卷軸,48,35000,49876,55000,+1.44%,2025-06-04
矛命中卷軸10%卷軸,48,1500,10000,11000,+4.39%,2025-06-04
手套攻擊卷軸60%卷軸,837,1450000,1600000,1650000,+0.20%,2025-06-05
拳套攻擊卷軸60%卷軸,781,350000,450000,550000,+5.07%,2025-06-05
手槍攻擊力卷軸60%卷軸,709,160000,250000,320000,+1.07%,2025-06-05
短杖魔力卷軸60%卷軸,701,160000,250000,300000,-0.05%,2025-06-05
短劍攻擊卷軸60%卷軸,656,500000,600000,700000,+0.89%,2025-06-05
盾牌幸運卷軸60%卷軸,576,1250000,1350000,1450000,-0.93%,2025-06-05
披風敏捷性卷軸60%卷軸,574,1400000,1600000,1800000,+0.55%,2025-06-05
披風幸運卷軸60%卷軸,573,1049999,1200000,1320000,+0.66%,2025-06-05
耳飾幸運卷軸10%卷軸,555,175000,230000,270000,+2.54%,2025-06-05
頭盔智力卷軸100%卷軸,498,180000,250000,340000,-3.36%,2025-06-05
長杖魔力卷軸60%卷軸,491,210000,300000,370000,+2.38%,2025-06-05
弓攻擊卷軸60%卷軸,471,180000,200000,260000,-0.53%,2025-06-05
槍命中卷軸60%卷軸,466,77777,129999,170000,+1.70%,2025-06-05
披風智力卷軸60%卷軸,456,450000,550000,650000,-0.84%,2025-06-05
套服敏捷卷軸60%卷軸,448,750000,900000,1000001,+3.17%,2025-06-05
鞋子跳躍卷軸10%卷軸,437,179999,210000,270000,+1.73%,2025-06-05
雙手劍命中卷軸60%卷軸,428,30000,70000,110000,-6.10%,2025-06-05
頭盔敏捷性卷軸100%卷軸,382,390000,400000,440000,+0.08%,2025-06-05
拳套攻擊卷軸10%卷軸,374,380000,460000,530000,+0.64%,2025-06-05
耳飾幸運卷軸100%卷軸,366,450000,550000,650000,-4.59%,2025-06-05
上衣幸運卷軸100%卷軸,362,300000,400000,500000,-8.46%,2025-06-05
耳環智力卷軸60%卷軸,349,810000,900000,970000,-0.08%,2025-06-05
披風力量卷軸60%卷軸,343,710000,949999,1000000,+1.23%,2025-06-05
鞋子跳躍卷軸60%卷軸,335,550000,660000,750000,+5.43%,2025-06-05
槍攻擊卷軸60%卷軸,334,75000,100000,135000,+0.26%,2025-06-05
手套敏捷性卷軸60%卷軸,330,70000,100000,150000,+2.68%,2025-06-05
頭盔體力卷軸60%卷軸,328,250000,380000,450000,+1.20%,2025-06-05
弩攻擊卷軸60%卷軸,308,33888,45000,55000,-0.11%,2025-06-05
套服敏捷卷軸10%卷軸,267,220000,300000,340000,+2.79%,2025-06-05
指虎攻擊卷軸60%卷軸,264,10000,30000,50000,+0.41%,2025-06-05
短劍攻擊卷軸10%卷軸,231,150000,299999,350000,+4.15%,2025-06-05
手套攻擊卷軸10%卷軸,229,650000,750000,850000,+5.05%,2025-06-05
手套攻擊卷軸100%卷軸,225,430000,500000,520000,-3.06%,2025-06-05
披風體力卷軸60%卷軸,209,170000,200000,270000,-4.71%,2025-06-05
鞋子速度卷軸60%卷軸,208,20000,40000,60000,+15.50%,2025-06-05
上衣力量卷軸100%卷軸,207,175000,200000,270000,-1.66%,2025-06-05
盾牌幸運卷軸100%卷軸,198,420000,480000,520000,-5.77%,2025-06-05
耳飾體力卷軸60%卷軸,195,125000,165000,220000,-6.33%,2025-06-05
單手劍攻擊卷軸60%卷軸,192,35000,50000,80000,+9.87%,2025-06-05
披風幸運卷軸10%卷軸,185,170000,200000,210000,+2.06%,2025-06-05
鞋子敏捷性卷軸60%卷軸,180,40000,60000,80000,-1.30%,2025-06-05
